device_angle,distance_to_door,AM_or_PM,mall_or_street,average_person_size,video_walkin,video_walkout,predict_walkin,predict_walkout,wifi_walkin,wifi_walkout,sales_in_next_15_min,sales_in_next_15_to_30_min,groundtruth_walkin
1,1,1,1,3384.5,17,21,27,23,21,20,4,2,24
3,2,0,2,1811.0,1,1,3,0,7,0,0,1,1
3,1,1,2,1506.0,9,9,10,11,35,42,1,1,4
3,1,1,1,1327.5,17,19,0,0,9,9,5,3,29
2,2,1,1,1073.25,6,6,3,0,2,5,2,4,0
3,1,1,1,1327.5,60,60,50,46,13,15,5,4,53
2,2,0,2,1224.0,5,9,8,8,3,5,0,0,8
2,2,0,1,4077.5,1,3,3,4,1,1,1,1,9
2,2,1,1,1252.5,26,14,21,20,4,4,3,4,34
3,1,0,2,1506.0,10,9,10,10,23,24,2,2,4
2,1,1,1,1161.0,24,24,27,28,33,38,2,3,48
3,2,1,2,1811.0,5,0,4,7,0,2,0,0,5
2,2,0,2,1224.0,2,4,6,5,3,2,0,0,1
2,2,0,1,4077.5,4,3,2,2,1,0,2,0,3
2,2,1,1,3571.5,1,3,0,0,1,0,0,0,0
2,2,1,1,890.0,5,4,2,2,1,2,1,2,4
2,2,1,1,3571.5,0,0,0,0,2,4,0,0,0
3,2,0,2,1811.0,6,7,7,9,5,5,1,3,5
2,2,1,1,1073.25,6,7,0,0,4,2,1,0,0
2,2,0,1,890.0,3,3,2,1,4,0,2,0,1
3,1,0,1,1327.5,20,24,28,27,21,16,3,2,48
3,1,1,2,1506.0,18,22,8,6,32,38,0,1,8
3,2,1,2,1811.0,3,9,6,6,2,1,2,1,5
2,2,1,1,4114.0,2,2,3,4,0,2,0,0,6
2,2,1,2,3057.5,5,3,6,8,0,4,0,2,4
3,1,1,2,1506.0,6,6,9,9,25,26,0,2,4
3,1,1,1,1327.5,4,10,0,0,6,6,0,1,11
2,2,0,1,1252.5,12,16,18,14,1,3,3,2,10
3,1,0,1,2299.5,10,9,10,10,8,10,2,1,7
2,1,1,1,1161.0,4,5,7,10,13,30,3,0,0
3,1,1,1,2299.5,35,35,20,18,19,16,1,4,38
2,1,1,1,1161.0,33,32,28,28,38,41,8,10,103
2,2,1,1,4376.0,1,2,0,1,2,1,0,0,1
2,2,0,1,4376.0,0,0,0,0,2,1,0,0,1
2,2,1,1,4077.5,0,0,0,0,0,0,0,0,0
1,1,1,1,3384.5,40,38,22,22,25,25,3,3,55
3,1,1,2,1506.0,13,8,4,3,31,30,1,0,4
3,1,1,1,1943.0,10,11,11,10,11,15,7,1,17
3,2,1,2,1811.0,7,6,7,8,1,0,2,1,7
1,1,1,1,3384.5,14,16,21,23,9,11,4,5,27
2,2,0,1,1252.5,16,13,22,20,8,2,0,1,17
2,2,0,2,1224.0,5,4,5,4,8,6,2,0,4
1,1,1,2,1852.0,2,0,0,0,6,3,0,0,1
3,2,1,2,1811.0,4,2,9,5,1,3,1,1,4
2,2,1,2,1224.0,3,5,5,5,4,4,0,1,1
2,2,1,1,4077.5,7,10,3,2,1,2,2,2,18
2,2,0,2,1224.0,8,7,5,5,3,3,3,0,3
2,2,1,1,1073.25,0,0,0,0,1,1,0,0,0
3,1,1,1,1943.0,15,10,13,12,17,12,2,0,17
3,1,1,1,2299.5,3,3,15,17,4,8,0,0,5
2,2,1,1,4376.0,0,0,0,0,2,6,1,1,2
1,1,1,2,1852.0,1,3,6,6,6,4,2,2,6
2,2,1,1,890.0,6,5,3,4,5,2,0,1,1
2,2,1,1,1073.25,14,12,7,7,0,2,1,1,0
2,2,0,1,4376.0,0,0,0,0,2,2,3,2,1
2,2,1,1,2485.5,0,0,9,7,18,15,0,0,3
3,1,0,1,1327.5,8,6,0,0,5,1,0,2,7
3,1,0,1,1327.5,40,36,34,32,13,16,2,0,32
2,2,1,1,1252.5,84,87,22,22,8,11,10,8,59
2,2,1,1,1252.5,33,35,28,31,6,0,0,2,25
3,1,1,1,2299.5,7,8,20,18,14,11,1,2,0
3,1,1,1,2299.5,17,22,24,23,16,15,2,4,27
3,1,0,2,1506.0,1,1,9,8,33,29,0,0,1
3,1,1,1,1943.0,0,0,0,0,0,0,0,0,0
2,2,1,1,890.0,1,0,2,2,0,0,1,0,2
3,1,1,1,2299.5,11,11,8,11,6,6,1,0,8
